,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
263,2020,1,Tucumán,143184,10494,44687,1,347,200067
264,2019,4,Buenos Aires,720011,2191672,669194,87,18,3686254
265,2019,4,Capital Federal,196938,1093143,35534,3,28,1358105
266,2019,4,Catamarca,22999,3318,9506,261,2,38311
267,2019,4,Chaco,48661,53602,8831,5,1,117903
268,2019,4,Chubut,47045,26977,1324,15,5,96102
269,2019,4,Córdoba,296872,410038,53335,37,8,806688
270,2019,4,Corrientes,52525,51845,2002,2,5,113834
271,2019,4,Entre Ríos,92981,99206,12875,18,15,239030
272,2019,4,Formosa,21567,8684,1760,14,169,46711
273,2019,4,Jujuy,32949,37604,873,814,16,88881
274,2019,4,La Pampa,15457,56854,4942,11,1,90399
275,2019,4,La Rioja,13738,34984,0,251,29,49002
276,2019,4,Mendoza,96678,49711,24989,13,730,185780
277,2019,4,Misiones,53116,69676,847,441,11,135813
278,2019,4,Neuquén,29826,60970,10549,14,854,116445
279,2019,4,Río Negro,49747,37933,9658,11,18,127140
280,2019,4,Salta,63272,76062,21865,3,8,172445
281,2019,4,San Juan,41360,6338,4931,7,5,64974
282,2019,4,San Luis,8569,8027,6,55,36,108201
283,2019,4,Santa Cruz,13264,15899,1036,6,2,39370
284,2019,4,Santa Fe,312072,382254,27464,26,20,769169
285,2019,4,Santiago Del Estero,24682,71239,200,2,4,103588
286,2019,4,Tierra Del Fuego,13261,26821,0,0,310,40392
287,2019,4,Tucumán,146985,11012,39574,725,348,198644
288,2019,3,Buenos Aires,1277249,2144956,425386,85,27,3960233
289,2019,3,Capital Federal,300288,1080973,24900,3,31,1441211
290,2019,3,Catamarca,24349,5543,13,244,2,32400
291,2019,3,Chaco,50416,49156,8063,5,1,114451
292,2019,3,Chubut,37298,27090,1917,15,7,89005
293,2019,3,Córdoba,307780,399231,30064,37,8,783053
294,2019,3,Corrientes,53344,50230,1888,2,4,112759
295,2019,3,Entre Ríos,94947,96305,12888,18,15,238102
296,2019,3,Formosa,21777,8359,1476,14,162,46066
297,2019,3,Jujuy,33110,35742,274,812,16,86576
298,2019,3,La Pampa,19469,52941,4994,11,1,90828
299,2019,3,La Rioja,14390,34984,11,251,41,49677
300,2019,3,Mendoza,148640,54312,6865,12,1,224337
301,2019,3,Misiones,54493,65872,829,419,12,133883
302,2019,3,Neuquén,43347,60484,5560,13,2,125421
303,2019,3,Río Negro,67478,37425,9739,10,18,144295
304,2019,3,Salta,65799,74329,733,1,9,151835
305,2019,3,San Juan,51670,7425,1227,7,5,73098
306,2019,3,San Luis,13037,10561,350,62,36,122700
307,2019,3,Santa Cruz,10663,17056,969,6,2,37970
308,2019,3,Santa Fe,319396,377171,18690,24,21,760934
309,2019,3,Santiago Del Estero,24556,71198,219,2,34,133132
310,2019,3,Tierra Del Fuego,19790,26659,651,0,1,48587
311,2019,3,Tucumán,150918,12089,116,684,324,164131
312,2019,2,Buenos Aires,1284658,2079900,382971,75,32,3855698
313,2019,2,Capital Federal,309937,1061358,36082,3,4,1415620
314,2019,2,Catamarca,25682,5543,13,146,2,33635
315,2019,2,Chaco,50765,47448,4203,4,1,108734
