,index,Año,Trimestre,Provincia,Accesos por cada 100 hogares
351,351,2019,1,Río Negro,53.57
352,352,2019,1,Salta,40.1
353,353,2019,1,San Juan,31.83
354,354,2019,1,San Luis,67.34
355,355,2019,1,Santa Cruz,23.67
356,356,2019,1,Santa Fe,66.97
357,357,2019,1,Santiago Del Estero,37.52
358,358,2019,1,Tierra Del Fuego,93.38
359,359,2019,1,Tucumán,41.63
360,360,2018,4,Buenos Aires,64.6
361,361,2018,4,Capital Federal,108.27
362,362,2018,4,Catamarca,32.23
363,363,2018,4,Chaco,32.59
364,364,2018,4,Chubut,42.61
365,365,2018,4,Córdoba,65.09
366,366,2018,4,Corrientes,34.57
367,367,2018,4,Entre Ríos,54.37
368,368,2018,4,Formosa,29.74
369,369,2018,4,Jujuy,46.53
370,370,2018,4,La Pampa,73.49
371,371,2018,4,La Rioja,50.35
372,372,2018,4,Mendoza,37.76
373,373,2018,4,Misiones,34.45
374,374,2018,4,Neuquén,59.07
375,375,2018,4,Río Negro,51.86
376,376,2018,4,Salta,39.8
377,377,2018,4,San Juan,31.9
378,378,2018,4,San Luis,67.55
379,379,2018,4,Santa Cruz,23.69
380,380,2018,4,Santa Fe,65.59
381,381,2018,4,Santiago Del Estero,37.4
382,382,2018,4,Tierra Del Fuego,93.59
383,383,2018,4,Tucumán,41.76
384,384,2018,3,Buenos Aires,64.44
385,385,2018,3,Capital Federal,108.45
386,386,2018,3,Catamarca,32.92
387,387,2018,3,Chaco,32.28
388,388,2018,3,Chubut,56.39
389,389,2018,3,Córdoba,64.24
390,390,2018,3,Corrientes,34.25
391,391,2018,3,Entre Ríos,50.22
392,392,2018,3,Formosa,29.58
393,393,2018,3,Jujuy,23.26
394,394,2018,3,La Pampa,71.75
395,395,2018,3,La Rioja,50.73
396,396,2018,3,Mendoza,37.99
397,397,2018,3,Misiones,32.1
398,398,2018,3,Neuquén,60.49
399,399,2018,3,Río Negro,50.54
400,400,2018,3,Salta,39.43
401,401,2018,3,San Juan,33.05
402,402,2018,3,San Luis,52.35
403,403,2018,3,Santa Cruz,32.73
404,404,2018,3,Santa Fe,63.41
405,405,2018,3,Santiago Del Estero,36.25
406,406,2018,3,Tierra Del Fuego,92.77
407,407,2018,3,Tucumán,41.68
408,408,2018,2,Buenos Aires,62.78
409,409,2018,2,Capital Federal,106.53
410,410,2018,2,Catamarca,32.86
411,411,2018,2,Chaco,31.25
412,412,2018,2,Chubut,54.9
413,413,2018,2,Córdoba,63.27
414,414,2018,2,Corrientes,33.81
415,415,2018,2,Entre Ríos,49.2
416,416,2018,2,Formosa,29.43
417,417,2018,2,Jujuy,23.43
418,418,2018,2,La Pampa,71.04
419,419,2018,2,La Rioja,50.98
420,420,2018,2,Mendoza,36.97
421,421,2018,2,Misiones,31.63
422,422,2018,2,Neuquén,60.24
423,423,2018,2,Río Negro,50.15
424,424,2018,2,Salta,39.94
