,Año,Trimestre,Provincia,Mbps (Media de bajada)
430,2018,2,Tierra Del Fuego,6
431,2018,2,Tucumán,14
432,2018,1,Buenos Aires,14
433,2018,1,Capital Federal,18
434,2018,1,Catamarca,8
435,2018,1,Chaco,12
436,2018,1,Chubut,5
437,2018,1,Córdoba,13
438,2018,1,Corrientes,11
439,2018,1,Entre Ríos,10
440,2018,1,Formosa,11
441,2018,1,Jujuy,7
442,2018,1,La Pampa,4
443,2018,1,La Rioja,6
444,2018,1,Mendoza,6
445,2018,1,Misiones,12
446,2018,1,Neuquén,12
447,2018,1,Río Negro,9
448,2018,1,Salta,9
449,2018,1,San Juan,6
450,2018,1,San Luis,6
451,2018,1,Santa Cruz,5
452,2018,1,Santa Fe,11
453,2018,1,Santiago Del Estero,6
454,2018,1,Tierra Del Fuego,6
455,2018,1,Tucumán,9
456,2017,4,Buenos Aires,13
457,2017,4,Capital Federal,15
458,2017,4,Catamarca,8
459,2017,4,Chaco,12
460,2017,4,Chubut,5
461,2017,4,Córdoba,12
462,2017,4,Corrientes,10
463,2017,4,Entre Ríos,9
464,2017,4,Formosa,10
465,2017,4,Jujuy,7
466,2017,4,La Pampa,4
467,2017,4,La Rioja,6
468,2017,4,Mendoza,6
469,2017,4,Misiones,11
470,2017,4,Neuquén,11
471,2017,4,Río Negro,8
472,2017,4,Salta,8
473,2017,4,San Juan,6
474,2017,4,San Luis,6
475,2017,4,Santa Cruz,5
476,2017,4,Santa Fe,10
477,2017,4,Santiago Del Estero,6
478,2017,4,Tierra Del Fuego,5
479,2017,4,Tucumán,9
480,2017,3,Buenos Aires,8
481,2017,3,Capital Federal,11
482,2017,3,Catamarca,5
483,2017,3,Chaco,8
484,2017,3,Chubut,3
485,2017,3,Córdoba,9
486,2017,3,Corrientes,7
487,2017,3,Entre Ríos,7
488,2017,3,Formosa,7
489,2017,3,Jujuy,5
490,2017,3,La Pampa,3
491,2017,3,La Rioja,5
492,2017,3,Mendoza,4
493,2017,3,Misiones,8
494,2017,3,Neuquén,8
495,2017,3,Río Negro,5
496,2017,3,Salta,6
497,2017,3,San Juan,3
498,2017,3,San Luis,4
499,2017,3,Santa Cruz,4
500,2017,3,Santa Fe,8
501,2017,3,Santiago Del Estero,5
502,2017,3,Tierra Del Fuego,3
503,2017,3,Tucumán,6
504,2017,2,Buenos Aires,7
505,2017,2,Capital Federal,9
506,2017,2,Catamarca,5
507,2017,2,Chaco,8
508,2017,2,Chubut,3
509,2017,2,Córdoba,7
510,2017,2,Corrientes,7
511,2017,2,Entre Ríos,6
512,2017,2,Formosa,6
513,2017,2,Jujuy,5
514,2017,2,La Pampa,3
515,2017,2,La Rioja,6
516,2017,2,Mendoza,4
517,2017,2,Misiones,8
518,2017,2,Neuquén,7
519,2017,2,Río Negro,5
520,2017,2,Salta,6
521,2017,2,San Juan,3
522,2017,2,San Luis,4
523,2017,2,Santa Cruz,4
524,2017,2,Santa Fe,7
525,2017,2,Santiago Del Estero,5
526,2017,2,Tierra Del Fuego,3
527,2017,2,Tucumán,6
528,2017,1,Buenos Aires,7
529,2017,1,Capital Federal,8
530,2017,1,Catamarca,5
531,2017,1,Chaco,7
532,2017,1,Chubut,3
533,2017,1,Córdoba,7
534,2017,1,Corrientes,6
535,2017,1,Entre Ríos,6
536,2017,1,Formosa,6
537,2017,1,Jujuy,4
538,2017,1,La Pampa,3
539,2017,1,La Rioja,5
540,2017,1,Mendoza,4
541,2017,1,Misiones,7
542,2017,1,Neuquén,6
543,2017,1,Río Negro,4
544,2017,1,Salta,5
545,2017,1,San Juan,3
546,2017,1,San Luis,4
547,2017,1,Santa Cruz,4
548,2017,1,Santa Fe,6
549,2017,1,Santiago Del Estero,5
550,2017,1,Tierra Del Fuego,3
551,2017,1,Tucumán,6
552,2016,4,Buenos Aires,6
553,2016,4,Capital Federal,8
554,2016,4,Catamarca,5
555,2016,4,Chaco,7
556,2016,4,Chubut,3
557,2016,4,Córdoba,6
558,2016,4,Corrientes,6
559,2016,4,Entre Ríos,6
560,2016,4,Formosa,6
561,2016,4,Jujuy,4
562,2016,4,La Pampa,3
563,2016,4,La Rioja,5
564,2016,4,Mendoza,4
565,2016,4,Misiones,7
566,2016,4,Neuquén,6
567,2016,4,Río Negro,4
568,2016,4,Salta,5
569,2016,4,San Juan,3
570,2016,4,San Luis,4
571,2016,4,Santa Cruz,4
572,2016,4,Santa Fe,6
573,2016,4,Santiago Del Estero,5
574,2016,4,Tierra Del Fuego,3
575,2016,4,Tucumán,6
576,2016,3,Buenos Aires,6
577,2016,3,Capital Federal,7
578,2016,3,Catamarca,5
579,2016,3,Chaco,7
580,2016,3,Chubut,3
581,2016,3,Córdoba,6
582,2016,3,Corrientes,6
583,2016,3,Entre Ríos,6
584,2016,3,Formosa,5
585,2016,3,Jujuy,4
586,2016,3,La Pampa,3
587,2016,3,La Rioja,5
588,2016,3,Mendoza,4
589,2016,3,Misiones,7
590,2016,3,Neuquén,5
591,2016,3,Río Negro,4
592,2016,3,Salta,5
593,2016,3,San Juan,3
594,2016,3,San Luis,4
595,2016,3,Santa Cruz,4
596,2016,3,Santa Fe,6
597,2016,3,Santiago Del Estero,5
598,2016,3,Tierra Del Fuego,3
599,2016,3,Tucumán,6
600,2016,2,Buenos Aires,5
601,2016,2,Capital Federal,7
602,2016,2,Catamarca,4
603,2016,2,Chaco,6
604,2016,2,Chubut,3
605,2016,2,Córdoba,6
606,2016,2,Corrientes,6
607,2016,2,Entre Ríos,5
608,2016,2,Formosa,5
609,2016,2,Jujuy,4
610,2016,2,La Pampa,3
611,2016,2,La Rioja,5
612,2016,2,Mendoza,4
613,2016,2,Misiones,6
614,2016,2,Neuquén,5
615,2016,2,Río Negro,4
616,2016,2,Salta,5
617,2016,2,San Juan,3
